symbol,rank,consensus_score,days_in_top10_30,days_in_top25_30,consecutive_top10,consecutive_top25,signal_age_runs,rank_std_10run,persistence_history_runs,persistence_label
SB,61.0,72.11482353059577,2.0,6.0,0.0,0.0,0,23.87132170618125,29.0,rotating
HSIC,62.0,72.09640418925689,0.0,0.0,0.0,0.0,0,165.0,2.0,rotating
IQV,63.0,71.49865933537237,0.0,0.0,0.0,0.0,0,17.892425461319906,6.0,rotating
A5G.IR,64.0,71.4723681401905,0.0,1.0,0.0,0.0,0,30.420387900222444,30.0,rotating
BBY,65.0,71.42701689657724,0.0,0.0,0.0,0.0,0,35.09073951913809,25.0,rotating
PGEN,66.0,71.04997439910335,0.0,0.0,0.0,0.0,0,42.01237912806177,30.0,rotating
SHEL,67.0,71.014373127016,0.0,0.0,0.0,0.0,0,64.09594370941113,23.0,rotating
SMCI,68.0,71.00553758831497,0.0,0.0,0.0,0.0,0,88.77612291601835,21.0,rotating
ILMN,69.0,70.9709026460832,0.0,1.0,0.0,0.0,0,65.67465264468477,17.0,rotating
FTNT,70.0,70.518583282648,0.0,0.0,0.0,0.0,0,94.03621642750201,29.0,rotating
ADPT,71.0,70.40571019968336,0.0,0.0,0.0,0.0,0,274.9381930543663,22.0,rotating
DSX,72.0,70.32785241696507,5.0,10.0,0.0,0.0,0,18.28906777285272,28.0,rotating
CVE,73.0,70.26018302644192,0.0,0.0,0.0,0.0,0,22.995651762887697,30.0,rotating
ASRNL.AS,74.0,70.25976134751238,0.0,0.0,0.0,0.0,0,31.48475821727078,27.0,rotating
SPXX,75.0,70.07900643243183,0.0,0.0,0.0,0.0,0,31.189100660326837,15.0,rotating
GRAL,76.0,69.93347013289505,0.0,0.0,0.0,0.0,0,63.48669151877423,5.0,rotating
TASK,77.0,69.82880635666652,0.0,0.0,0.0,0.0,0,36.98151772252221,7.0,rotating
TEN,78.0,69.80942933767992,0.0,0.0,0.0,0.0,0,99.96456162184134,9.0,rotating
A,79.0,69.6293766419137,0.0,0.0,0.0,0.0,0,91.90647420067859,18.0,rotating
OERL.SW,80.0,69.60262770369215,0.0,1.0,0.0,0.0,0,65.98704418293033,30.0,rotating
BEN,81.0,69.50623075312092,0.0,2.0,0.0,0.0,0,98.3280733056435,26.0,rotating
TRMD-A.CO,82.0,69.4288446277431,0.0,0.0,0.0,0.0,0,31.793710069760657,11.0,rotating
HMC,83.0,69.40714718585251,0.0,0.0,0.0,0.0,0,125.08972779569073,27.0,rotating
EXK,84.0,69.28480234063517,0.0,0.0,0.0,0.0,0,118.27358115826205,24.0,rotating
SBSW,85.0,69.11468764169743,0.0,0.0,0.0,0.0,0,156.97608098051117,21.0,rotating
BP,86.0,68.9980039036067,0.0,1.0,0.0,0.0,0,97.27820927628139,22.0,rotating
PRAA,87.0,68.9632587509349,0.0,0.0,0.0,0.0,0,20.5,2.0,rotating
INGA.AS,88.0,68.94923160970995,0.0,0.0,0.0,0.0,0,20.05592181875468,30.0,rotating
IBRX,89.0,68.85565783937011,0.0,0.0,0.0,0.0,0,93.9774441022951,22.0,rotating
NTSK,90.0,68.81523782274564,0.0,0.0,0.0,0.0,0,93.12765432458824,28.0,rotating
NN.AS,91.0,68.6513384894734,0.0,0.0,0.0,0.0,0,45.48197445142416,28.0,rotating
DEZ.DE,92.0,68.62066487043924,0.0,3.0,0.0,0.0,0,27.52108282753424,27.0,rotating
VWS.CO,93.0,68.57109931922935,0.0,0.0,0.0,0.0,0,79.99181208098739,29.0,rotating
TTE.PA,94.0,68.45483166298419,0.0,0.0,0.0,0.0,0,13.523682930326341,25.0,rotating
SU,95.0,68.39966051190477,0.0,0.0,0.0,0.0,0,78.99088555016965,23.0,rotating
TKA.DE,96.0,68.37118488135624,0.0,1.0,0.0,0.0,0,36.540388613149695,30.0,rotating
IRWD,97.0,68.34761714047474,0.0,0.0,0.0,0.0,0,57.47703889380524,30.0,rotating
BBVA.MC,98.0,68.31106052341612,0.0,0.0,0.0,0.0,0,34.89713455285405,30.0,rotating
NTG.CO,99.0,68.13371025446177,0.0,0.0,0.0,0.0,0,21.81857007230309,12.0,rotating
KBC.BR,100.0,68.1194901944575,0.0,0.0,0.0,0.0,0,36.91463124561859,29.0,rotating
ZS,101.0,68.05980546255884,0.0,0.0,0.0,0.0,0,165.82026414163016,23.0,rotating
AGS.BR,102.0,67.94619916026289,0.0,0.0,0.0,0.0,0,30.082553083141065,28.0,rotating
PBR,103.0,67.62553110828588,0.0,0.0,0.0,0.0,0,28.163096420670794,30.0,rotating
TALO,104.0,67.59229261024333,0.0,2.0,0.0,0.0,0,33.87329331494061,19.0,rotating
DSFIR.AS,105.0,67.568662441418,0.0,0.0,0.0,0.0,0,89.43601064448258,30.0,rotating
SSRM,106.0,67.47513755320736,1.0,6.0,0.0,0.0,0,61.63083643761457,28.0,rotating
METSO.HE,107.0,67.21342604575713,0.0,0.0,0.0,0.0,0,90.36974051085905,20.0,rotating
LITE,108.0,67.07184775393928,0.0,0.0,0.0,0.0,0,49.748266301450144,26.0,rotating
REPX,109.0,67.02352732406067,0.0,0.0,0.0,0.0,0,37.33952329636789,5.0,rotating
DEMANT.CO,110.0,66.99453380503763,0.0,0.0,0.0,0.0,0,34.45126993305181,23.0,rotating
MRNA,111.0,66.96566064645774,0.0,0.0,0.0,0.0,0,34.59494182680468,30.0,rotating
DNORD.CO,112.0,66.77759741246173,0.0,0.0,0.0,0.0,0,17.1583798768998,14.0,rotating
HPQ,113.0,66.70109565060407,0.0,0.0,0.0,0.0,0,80.13120490795082,28.0,rotating
EQNR.OL,114.0,66.6935140390544,0.0,0.0,0.0,0.0,0,39.159162401665334,30.0,rotating
SAIL,115.0,66.66094807394225,0.0,0.0,0.0,0.0,0,161.84684118017256,22.0,rotating
NEOG,116.0,66.65012956941125,0.0,0.0,0.0,0.0,0,50.19651382317302,18.0,rotating
FSLY,117.0,66.57497646499722,0.0,0.0,0.0,0.0,0,146.67041283094557,10.0,rotating
INTC,118.0,66.56621728800178,0.0,0.0,0.0,0.0,0,140.05788089215116,11.0,rotating
FDMT,119.0,66.42085548098719,0.0,0.0,0.0,0.0,0,115.43327076714063,22.0,rotating
PRGO,120.0,66.37109249200353,0.0,0.0,0.0,0.0,0,44.73477394600312,30.0,rotating
WKC,121.0,66.32345105926233,0.0,0.0,0.0,0.0,0,49.77750495956984,30.0,rotating
CRSR,122.0,66.30708265979756,0.0,0.0,0.0,0.0,0,55.63173554725756,22.0,rotating
PR,123.0,66.17091351993717,1.0,15.0,0.0,0.0,0,34.94052088907663,30.0,rotating
WDAY,124.0,66.16442947361642,0.0,2.0,0.0,0.0,0,38.5414063054269,26.0,rotating
GRPN,125.0,66.13906110869877,0.0,0.0,0.0,0.0,0,139.4552895295757,9.0,rotating
DT,126.0,66.02601862283251,0.0,0.0,0.0,0.0,0,115.80591522025117,30.0,rotating
AGN.AS,127.0,66.01550831788538,0.0,0.0,0.0,0.0,0,111.40022441629101,30.0,rotating
ZIM,128.0,65.96775095480774,0.0,0.0,0.0,0.0,0,17.5,2.0,rotating
SYENS.BR,129.0,65.95049143539805,0.0,0.0,0.0,0.0,0,60.6946455628501,29.0,rotating
DDOG,130.0,65.83342686030926,0.0,0.0,0.0,0.0,0,164.5029550562002,6.0,rotating
SWON.SW,131.0,65.67326888475344,0.0,0.0,0.0,0.0,0,43.635306805384104,18.0,rotating
PLTR,132.0,65.65090026735567,0.0,0.0,0.0,0.0,0,86.55177641157923,30.0,rotating
NEM,133.0,65.64621502901196,0.0,0.0,0.0,0.0,0,51.72813547770691,30.0,rotating
FTRE,134.0,65.50804800154914,0.0,0.0,0.0,0.0,0,183.99173894498634,25.0,rotating
ALSYDB.CO,135.0,65.41160314140959,0.0,0.0,0.0,0.0,0,20.70169075220669,18.0,rotating
SAB.MC,136.0,65.27076044302677,0.0,0.0,0.0,0.0,0,46.74355570557294,30.0,rotating
BAX,137.0,65.25480135209047,0.0,0.0,0.0,0.0,0,33.601934468122515,30.0,rotating
GPN,138.0,65.13729345360812,0.0,0.0,0.0,0.0,0,49.42226219023164,20.0,rotating
KRX.IR,139.0,65.10646218195708,0.0,0.0,0.0,0.0,0,28.962734677512756,30.0,rotating
CVX,140.0,65.09664261628006,0.0,0.0,0.0,0.0,0,34.299416904664724,29.0,rotating
NWBI,141.0,65.04333420105571,0.0,0.0,0.0,0.0,0,84.44459064314829,3.0,rotating
PD,142.0,65.01974510574286,0.0,0.0,0.0,0.0,0,78.15139154231358,30.0,rotating
BAYN.DE,143.0,64.9869797481048,0.0,5.0,0.0,0.0,0,86.86132626203678,30.0,rotating
PATH,144.0,64.98440645638944,0.0,0.0,0.0,0.0,0,67.5174792183476,30.0,rotating
CBK.DE,145.0,64.95710344752402,0.0,0.0,0.0,0.0,0,44.82231587055716,30.0,rotating
CMPS,146.0,64.8956184331161,0.0,0.0,0.0,0.0,0,110.70632321597533,27.0,rotating
BMY,147.0,64.85734005028436,0.0,0.0,0.0,0.0,0,83.99553559564937,30.0,rotating
NDA-FI.HE,148.0,64.83018443479749,0.0,0.0,0.0,0.0,0,54.47944566531492,11.0,rotating
AMV0.DE,149.0,64.75738020499892,0.0,0.0,0.0,0.0,0,206.87989269138745,30.0,rotating
VAR.OL,150.0,64.74832583232893,0.0,0.0,0.0,0.0,0,38.53634647965476,30.0,rotating
HAFN,151.0,64.7198087257401,0.0,3.0,0.0,0.0,0,57.464858826938745,22.0,rotating
RIGL,152.0,64.70704999280937,0.0,0.0,0.0,0.0,0,103.02349246652436,29.0,rotating
CLBK,153.0,64.67406997192654,0.0,0.0,0.0,0.0,0,49.251294399233814,30.0,rotating
RAND.AS,154.0,64.57238474612276,0.0,0.0,0.0,0.0,0,83.3715179182915,30.0,rotating
SRPT,155.0,64.55895434385477,0.0,0.0,0.0,0.0,0,60.286399792988135,28.0,rotating
ARGX.BR,156.0,64.45254431682062,0.0,0.0,0.0,0.0,0,106.28494719385243,30.0,rotating
AAPL,157.0,64.43256663498444,0.0,0.0,0.0,0.0,0,32.288697712976905,30.0,rotating
VTRS,158.0,64.42724512498562,0.0,0.0,0.0,0.0,0,93.35785987264275,27.0,rotating
VSTS,159.0,64.408924256027,0.0,0.0,0.0,0.0,0,135.22070847322166,11.0,rotating
PNDORA.CO,160.0,64.31398163653613,0.0,0.0,0.0,0.0,0,192.41884003392184,30.0,rotating
IOT.MI,161.0,64.22335038483006,0.0,1.0,0.0,0.0,0,87.04251834592104,14.0,rotating
SAN.MC,162.0,64.19902529384193,0.0,0.0,0.0,0.0,0,31.68217164273939,30.0,rotating
IDR.MC,163.0,64.1750497516169,0.0,0.0,0.0,0.0,0,120.19084823729301,18.0,rotating
EMBC,164.0,64.13661253306908,0.0,0.0,0.0,0.0,0,128.3035463266702,29.0,rotating
ZETA,165.0,64.13353753016011,0.0,0.0,0.0,0.0,0,45.76297630180974,30.0,rotating
ARHS,166.0,64.07529745393104,0.0,0.0,0.0,0.0,0,126.76135057658546,12.0,rotating
AZE.BR,167.0,64.03097981140128,0.0,0.0,0.0,0.0,0,70.76044092570368,30.0,rotating
ENI.MI,168.0,63.99109947986985,0.0,0.0,0.0,0.0,0,69.49741002368361,29.0,rotating
TEAM,169.0,63.88931527334749,0.0,0.0,0.0,0.0,0,28.646291208461875,24.0,rotating
CTKB,170.0,63.85803946412251,0.0,0.0,0.0,0.0,0,109.54012963293407,20.0,rotating
GEN,171.0,63.84576084668959,0.0,0.0,0.0,0.0,0,49.22804078977753,30.0,rotating
OSCR,172.0,63.80552756400756,0.0,0.0,0.0,0.0,0,47.072391058878665,30.0,rotating
QTWO,173.0,63.80271062482284,0.0,0.0,0.0,0.0,0,0.0,1.0,new_signal
HOOD,174.0,63.71998319116453,0.0,0.0,0.0,0.0,0,83.77237014672558,30.0,rotating
BTG,175.0,63.71868732683354,0.0,0.0,0.0,0.0,0,42.86677034720484,30.0,rotating
WTI,176.0,63.58355559710322,0.0,0.0,0.0,0.0,0,129.48528873968655,18.0,rotating
XERS,177.0,63.52059139546509,0.0,0.0,0.0,0.0,0,131.82112880718327,24.0,rotating
RBI.VI,178.0,63.49598836410139,0.0,0.0,0.0,0.0,0,150.7563928992731,30.0,rotating
UNI.MC,179.0,63.494630615646656,0.0,0.0,0.0,0.0,0,21.75798703924607,30.0,rotating
MSFT,180.0,63.49260388267204,0.0,0.0,0.0,0.0,0,56.62870296943062,30.0,rotating
DHL.DE,181.0,63.455634047108,0.0,0.0,0.0,0.0,0,156.73445696463813,28.0,rotating
HMY,182.0,63.42587691705754,0.0,0.0,0.0,0.0,0,103.22833913223636,20.0,rotating
FORTUM.HE,183.0,63.42279365022473,0.0,0.0,0.0,0.0,0,126.99747782928604,8.0,rotating
XOM,184.0,63.41423330210888,0.0,0.0,0.0,0.0,0,79.7104760994438,29.0,rotating
KBCA.BR,185.0,63.39718452134038,0.0,0.0,0.0,0.0,0,50.04637849035632,30.0,rotating
