symbol,direction,freshness,breakout_score,direction_confidence,deep_selection_tier,confirmation_available,confirmation_score,confirmation_label,price_return_1d,price_return_5d,realized_vol_20d_ann,normalized_5d_shock,distance_to_20d_high,distance_to_20d_low,distance_to_63d_high,distance_to_63d_low,follow_through_3d,confirmation_data_mode,confirmed_breakout_score,confirmed_breakout_rank
PHGE,DOWN,CONTINUING,99.77623913358605,87.89154140561213,core,True,99.99999999999999,CONFIRMED,-0.2555061414785329,-0.5555555392031153,1.6568489470030678,-2.380454222924985,-0.610810800361494,0.0,-0.8690909038890492,0.0,1.0,close_based,97.46642784791545,1.0
RVTY,UP,CONTINUING,98.4771507231018,90.09377821480514,adaptive,True,99.91962478262111,CONFIRMED,0.03951774869572677,0.17666530095266708,0.4638310311037594,2.704000237812839,0.0,0.22000836710514138,0.0,0.49071130691958476,1.0,close_based,97.23321843929826,2.0
SDGR,UP,CONTINUING,99.40407643857505,89.51059732127615,adaptive,True,98.20788749229949,CONFIRMED,0.029247324953797005,0.24635413303557496,0.8127879313572495,2.151780039599328,0.0,0.274906751282354,0.0,0.5985303859934614,1.0,close_based,97.06652393123261,3.0
FRO,UP,CONTINUING,96.9087042423116,88.93176955353299,adaptive,True,99.99999999999999,CONFIRMED,0.040317852494774264,0.13683539948632073,0.3637432399464875,2.6706612300450496,0.0,0.3026698343467744,0.0,0.5466857921878299,1.0,close_based,96.24070603186239,4.0
JKS,DOWN,CONTINUING,97.83849563391252,86.52330213327198,core,True,99.36143039284087,CONFIRMED,-0.040149421442035704,-0.15599347492603932,0.5719845019177754,-1.9361430392840895,-0.3938679075529661,0.0,-0.42793544096957425,0.0,1.0,close_based,96.03233736146291,5.0
TEN,UP,CONTINUING,97.93743960198007,84.70226634224805,core,True,97.2464643207759,CONFIRMED,0.023478785924655465,0.18027982250640417,0.37091082054877,3.450586245997169,0.0,0.299627363311578,0.0,0.5174010180369593,1.0,close_based,95.08311236567242,6.0
NAT,UP,CONTINUING,95.04300292833236,87.13871982213449,adaptive,True,96.30572968548651,CONFIRMED,0.017834378112919103,0.14142853873116623,0.32992721275003983,3.0432258500895877,0.0,0.2727278803707902,0.0,0.4978673847076367,1.0,close_based,93.84096433423903,7.0
ILMN,UP,CONTINUING,95.53860302480714,84.91275083274945,adaptive,True,93.50141035495245,CONFIRMED,0.02987088753519096,0.11673167158917686,0.5455791395527299,1.5189595765753963,0.0,0.1374272758790065,0.0,0.438996781353604,1.0,close_based,92.80227478543921,8.0
MPT,DOWN,CONTINUING,92.20890090299622,83.24591886446353,core,True,99.99999999999999,CONFIRMED,-0.04237284140261244,-0.11023617957562493,0.28506831049344644,-2.745304234867536,-0.16584635962840955,0.0,-0.2874580979774175,0.0,1.0,close_based,92.75363422439082,9.0
CSIQ,DOWN,CONTINUING,97.28161686176476,87.70870017348474,core,True,87.34846434176151,CONFIRMED,-0.07352938197384096,-0.15750370576157446,0.6445327755100022,-1.7348464341761518,-0.2813687994624129,0.0,-0.30811466901274054,0.0,0.6666666666666666,close_based,92.38708776810779,10.0
NXI.PA,DOWN,CONTINUING,95.51049917188116,79.6900451482419,core,True,93.79080033253828,CONFIRMED,-0.002744801995229751,-0.08633702098051466,0.25720795656136675,-2.383021324151012,-0.22142859867640907,0.0,-0.3405929119327672,0.0,1.0,close_based,91.83049871535044,11.0
ZEPP,DOWN,CONTINUING,95.65931083553114,78.17586656612751,core,True,92.02634980769434,CONFIRMED,-0.016166211560647348,-0.14799995422363277,0.6567401522422375,-1.5998647880919814,-0.20670385108614986,0.0,-0.2680412193758104,0.0,1.0,close_based,91.07273367329938,12.0
FTRE,UP,CONTINUING,93.2745915380587,79.10006504297782,adaptive,True,95.36070093501009,CONFIRMED,0.012164205610060597,0.18939834570743197,0.5757358730088196,2.335437015178144,0.0,0.18939834570743197,-0.035265769211561104,0.3043761440899073,1.0,close_based,91.06551905812795,13.0
