horizon,holding_days,threshold,top_n,signal_dates,trades,mean_net_forward_return,median_net_forward_return,hit_rate,t_stat_naive,worst_signal_date_return,best_signal_date_return,max_drawdown_nonoverlap_proxy
short,20,60,10,16,160,-0.00988043384649009,-0.0012171110278000868,0.475,-1.27664003787303,-0.06281534400022577,0.026995614223534182,-0.16763093990847566
short,20,65,10,16,160,-0.00988043384649009,-0.0012171110278000868,0.475,-1.27664003787303,-0.06281534400022577,0.026995614223534182,-0.16763093990847566
short,20,70,10,16,160,-0.00988043384649009,-0.0012171110278000868,0.475,-1.27664003787303,-0.06281534400022577,0.026995614223534182,-0.16763093990847566
short,20,75,10,16,149,-0.011480289017440122,-0.0012171110278000868,0.46308724832214765,-1.3977670593168006,-0.06281534400022577,0.026995614223534182,-0.16101214995492286
short,20,80,10,15,133,-0.012012002839667267,-0.0012171110278000868,0.48120300751879697,-1.329994227205179,-0.06281534400022577,0.026995614223534182,-0.20022362623611112
short,20,85,10,13,65,-0.032384122684893185,-0.0246537246792794,0.46153846153846156,-2.4066255472641465,-0.07595023527496252,0.01540268784900715,-0.32104928429523716
short,20,90,10,4,19,-0.00043279865097286364,0.007734482727481453,0.6842105263157895,-0.015008826555366615,-0.05165703337889571,0.11688110395736828,-0.007884431599842423
