symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected,challenger_dynamic_score,challenger_tier,challenger_rank,live_selected
DELL,357,0.0180377702756002,0.1327609106336977,0.3308434758410592,2.488518422284853,0.0419185411038101,6875200.0,1343,False,84.63690889774162,95.96563771944322,57.47427101959428,87.44372186093047,core,core,True,84.63690889774162,core500,1,True
ZETA,357,0.0081195190830256,0.0766562954446652,0.5700556498135005,0.7331100603003324,0.0501835793859738,5196050.0,823,False,84.21079388757238,94.88189073429268,65.48354655400608,82.14107053526763,core,core,True,84.21079388757238,core500,2,True
TKA.DE,360,-0.0324341762581273,0.0818671004691939,0.3627317199919115,0.8617152207340015,0.0324341762581273,1993559.5,1584,False,84.14884684938218,94.01614852808116,66.32398194936601,56.22811405702851,core,core,True,84.14884684938218,core500,3,True
ROIV,357,-0.0477338371284268,0.0899557994079851,0.3153512852753894,0.3967467836255338,0.0552499712369463,6303600.0,1106,False,84.14673417235521,89.76554450772167,84.60095839672915,86.29314657328663,core,core,True,84.14673417235521,core500,4,True
NEXI.MI,359,0.0069794955441835,0.0305418902036622,0.1805869416176526,0.6095803453454527,0.0641914933577152,5462480.0,1883,False,82.73892853322188,86.9212704106358,63.10767505436085,83.24162081040521,core,core,True,82.73892853322188,core500,5,True
ABCL,357,-0.0026223543768859,0.0187500037252903,1.1692013975135571,2.205056188428903,0.0872000122070312,4499600.0,818,False,82.59145412641536,95.76056037682466,51.664845803191454,79.68984492246123,core,core,True,82.59145412641536,core500,6,True
CHAR.L,358,0.0761589471940737,1.1959459176457132,1.0312499697320168,1.434456859275536,0.0,7037338.5,1833,False,82.34841110142881,99.1924440379514,0.0,87.943971985993,core,core,True,82.34841110142881,core500,7,True
EST.L,359,0.3791667455876335,1.4219513502807466,1.2827587408911767,1.9553573259539,0.0,4764537.0,1830,False,82.01025113032239,99.60758565533934,0.0,80.64032016008004,core,core,True,82.01025113032239,core500,8,True
AMC,357,-0.003906246362021,0.045081923162384,0.1184210457520029,1.4056604622351698,0.0555555898956795,18030400.0,727,False,81.99622545657417,86.58429988262748,71.62871858683548,96.34817408704352,core,core,True,81.99622545657417,core500,9,True
HNST,357,-0.0540069608259152,0.1553191592975031,0.5167597609101142,0.967391248949684,0.0873949575791225,2251750.0,485,False,81.98864758489684,96.488047750173,66.53134221572087,59.77988994497249,core,core,True,81.98864758489684,core500,10,True
PGEN,357,0.0189228699572734,0.0687022589559116,0.4583332753843754,0.9943019997205544,0.0591397921823189,2984700.0,898,False,81.74418480161454,94.88934802217472,62.75143443531211,68.03401700850425,core,core,True,81.74418480161454,core500,11,True
SAB.MC,362,-0.005952400918892,0.0054734484637106,0.1685750516497746,0.4218302473857391,0.0155412877784353,12304351.0,1669,False,81.06718010391731,82.60740707540694,48.14262841656539,93.94697348674336,core,core,True,81.06718010391731,core500,12,True
MRNA,357,0.0245136634826508,1.2303755245800607,1.7579129354822969,1.6968673901496376,0.1755361839272926,17566950.0,1336,False,80.74346950220432,99.60685627887042,0.0,96.248124062031,core,core,True,80.74346950220432,core500,13,True
PBF,357,-0.0267030807868144,-0.0046622948653778,0.8910075146391518,0.7329507300681115,0.0457216052557269,2415250.0,753,False,80.35740306016827,91.92112369496589,72.87796372112808,62.281140570285146,core,core,True,80.35740306016827,core500,14,True
UGP,357,-0.0013422486309653,0.1822026453080125,0.606011143091737,0.5507435618714223,0.0158730008554686,3039150.0,909,False,79.95091416370265,95.1416576559668,47.0033468564645,68.68434217108555,core,core,True,79.95091416370265,core500,15,True
U,357,0.0060818320826481,-0.0536854213519807,0.5096524628664525,1.176619323043754,0.0870304019464915,9055800.0,1124,False,79.93641817511248,89.14437732328992,49.23112158044713,91.44572286143072,core,core,True,79.93641817511248,core500,16,True
BBVA.MC,362,-0.0268244692285229,-0.0068438033514357,0.1400185199679311,0.4053666331139367,0.0291223839260876,5592618.5,1671,False,79.78207860544923,79.91594697786729,62.63766024113539,83.94197098549274,core,core,True,79.78207860544923,core500,17,True
MRK,357,-0.0257392673014017,0.0637549402340471,0.2588228882062127,0.2620539314779393,0.0754952938013958,8823700.0,1359,False,79.0589615663483,84.35843268446956,65.65305680013998,91.1455727863932,core,core,True,79.0589615663483,core500,18,True
NCNO,357,-0.0103884168282255,0.083044999663409,0.4864314916980514,0.4395531841662246,0.0727888012882473,2378750.0,907,False,78.95441264483266,91.9179642307897,62.85117315836502,61.63081540770386,core,core,True,78.95441264483266,core500,19,True
DBK.DE,360,-0.06447553301191,0.0114925475245077,0.0809631259705114,0.3402521199102453,0.06447553301191,4592528.5,1576,False,78.85802874321759,76.07508655874369,83.77289097824375,79.98999499749874,core,core,True,78.85802874321759,core500,20,True
PRGO,357,-0.0699588140896289,0.079507832732552,0.2933915977112684,0.4608267191105848,0.0911527915363833,2520600.0,488,False,78.77467904029706,89.86032213018547,68.8576879202854,63.73186593296648,core,core,True,78.77467904029706,core500,21,True
SNOW,357,-0.0373174039155644,-0.0215987842889425,0.341390533365594,0.8519496690924993,0.0939489721987578,4034750.0,1429,False,78.7530637546424,89.06209014154736,57.60630763804668,76.6383191595798,core,core,True,78.7530637546424,core500,22,True
EDEN.PA,362,-0.0031457584994013,0.016031377550119,0.3791102532346528,0.6515650978815066,0.0658368877718713,478504.5,1802,False,78.38308846208186,90.96463732166518,65.04229665592884,26.863431715857928,core,core,True,78.38308846208186,core500,23,True
OSCR,357,-0.0172674863316304,0.0282091730957314,0.1132463728956982,1.442771030045122,0.0405206356384325,4719550.0,1160,False,78.32383520767542,85.47577405646769,66.90626748004094,80.54027013506754,core,core,True,78.32383520767542,core500,24,True
DSFIR.AS,362,-0.0185105602087491,0.042285679408482,0.2221923558213698,0.5891811787756804,0.0474201067143056,570179.0,1938,False,78.19062856597968,88.86821186162928,71.53993183640772,28.61430715357679,core,core,True,78.19062856597968,core500,25,True
NTNX,357,0.0074085051981964,0.0354857458377624,0.3763157037181868,0.6758688285729384,0.0264890975247289,2384600.0,1288,False,77.60665740857563,92.17587322085365,51.022913022977285,61.830915457728864,core,core,True,77.60665740857563,core500,26,True
LIFE,158,-0.0414088924205452,0.145294309820682,1.4471446549042963,2.373534354680756,0.0414088924205452,1109450.0,951,False,77.60288845776547,98.95174910289845,74.49738416871084,41.92096048024012,core,core,True,77.60288845776547,core500,27,True
MSFT,357,0.0064176188517384,0.0368602365775727,0.2458870447962835,0.2479924024716482,0.0319553545917384,19991350.0,2,False,77.52320068172546,82.78706444004335,54.69579496312869,96.8984492246123,core,core,True,77.52320068172546,core500,28,True
TEAM,357,0.0758984215430371,0.1987495386418194,1.073293186580066,1.4919259829519036,0.0250153857633329,3640500.0,1273,False,76.9559931859087,98.84747242865907,0.0,74.13706853426714,core,core,True,76.9559931859087,core500,29,True
BOX,357,0.0145772597994626,0.077732990101162,0.364170871220173,0.4291580571613969,0.0322580610941392,2419950.0,933,False,76.9392246653275,90.64373338506316,52.50328942629052,62.4312156078039,core,core,True,76.9392246653275,core500,30,True
PTEN,357,0.0039494621909559,0.0483923901289986,0.2018157359089609,0.2748194434772761,0.0334600451062582,7721850.0,767,False,76.63293707489817,82.8324303958452,56.34714906960722,89.34467233616809,core,core,True,76.63293707489817,core500,31,True
HPE,357,-0.0026770964563551,-0.0300295005017839,0.1432780719798276,1.5814581691315477,0.1000160906621261,19629150.0,1306,False,76.62909432821726,83.67697061204595,43.747049389882655,96.74837418709356,core,core,True,76.62909432821726,core500,32,True
BMPS.MI,359,0.0113343611987046,-0.0214357235330225,0.0752236050141292,0.7966357435158125,0.0207848355950458,9635588.0,1874,False,76.42680539191527,78.08842682984904,46.34666192350143,92.19609804902451,core,core,True,76.42680539191527,core500,33,True
OKTA,357,0.1363703902924986,0.3295866353295493,0.6123433162869032,1.4682476400887683,0.0,3370300.0,1188,False,76.36865716506564,98.46898906950751,0.0,71.78589294647324,core,core,True,76.36865716506564,core500,34,True
HTFL,276,0.0121466352053338,0.1523605964134751,0.4725777660100474,1.3036226351558362,0.0416418493240732,1871700.0,982,False,76.340174756305,96.87631834008904,59.02123336096581,54.62731365682841,core,core,True,76.340174756305,core500,35,True
GEMD.L,359,0.5832274738669603,2.115000009536743,2.461111213395628,1.595833238131474,0.0,1132183.5,283,True,76.30268282394054,99.62418343450528,0.0,42.52126063031516,core,core,True,76.30268282394054,core500,36,True
TXG,357,0.1339939195119792,0.2828073329280725,1.308814294577021,3.457159796840521,0.0,2710050.0,941,False,76.17450871582457,99.5960826565971,0.0,65.83291645822912,core,core,True,76.17450871582457,core500,37,True
ISP.MI,359,0.0053836178941937,-0.023529437023284,0.1003273163144875,0.344684647738219,0.0229617775624314,35924601.5,1872,False,76.16965689892515,75.36909320611906,49.42992612903202,99.0495247623812,core,core,True,76.16965689892515,core500,38,True
GO,357,-0.0221276790537732,0.0,0.1943866848030013,0.8991734560131528,0.0718901724632937,2244950.0,558,False,76.16364490900706,87.06627136306211,66.83141867531153,59.62981490745373,core,core,True,76.16364490900706,core500,39,True
A5G.IR,360,-0.0065473426245883,0.0502999607175962,0.0922774756487414,0.3705311108900806,0.0227565764624834,3752442.5,1859,False,76.03247744612187,79.23806175644219,52.782760361328,74.93746873436719,core,core,True,76.03247744612187,core500,40,True
SB,357,-0.0358343379129634,0.0629628705171716,0.2893206503984928,0.4465030736575499,0.0610687475417146,1055150.0,519,False,76.02801227416212,89.17950959849628,77.52817150831478,40.72036018009004,core,core,True,76.02801227416212,core500,41,True
MT.AS,362,-0.0514353882772203,0.001895118958672,0.0994112710311698,0.4106897074134601,0.0565139702228942,1376586.5,1927,False,75.92695341760663,78.07130188972585,84.89810191906425,46.57328664332166,core,core,True,75.92695341760663,core500,42,True
AZE.BR,362,-0.0404858287089783,-0.0050377385987473,0.2090279136615607,0.6157960587095439,0.0572791830417431,191140.5,1496,False,75.90206258519355,85.89236637318864,81.23077720475385,17.258629314657327,core,core,True,75.90206258519355,core500,43,True
IOT.MI,359,0.0186800220663378,0.1803752536508835,0.3322476356759007,0.5551330701965911,0.0788288063337721,307117.0,1913,False,75.88946623479582,93.27888758008083,50.63382773831634,22.11105552776388,core,core,True,75.88946623479582,core500,44,True
NMAX,357,0.0056022800563015,0.0395753682117325,0.3772378799674067,0.5474138503928905,0.0577427672607537,963750.0,602,False,75.72736171376162,91.37790595070354,67.50143144120732,38.3191595797899,core,core,True,75.72736171376162,core500,45,True
HSBA.L,358,-0.0335280970224859,-0.0058785107772697,0.0592021160554758,0.2895272883501039,0.0368307511519121,15226203.0,1817,False,75.42754967034631,71.67012259687436,69.36473139226592,95.44772386193095,core,core,True,75.42754967034631,core500,46,True
SABR,357,-0.0752212730138545,-0.0301624399458994,0.2011493693760107,0.3440514370852829,0.0752212730138545,3113150.0,406,False,75.25363092453088,80.4601549653625,80.25494038236906,69.23461730865432,core,core,True,75.25363092453088,core500,47,True
CRM,357,0.0262122627941812,0.3386919006249096,0.5536310492566314,0.2955069218851827,0.0332034906118311,13558300.0,1328,False,75.06154046088447,90.8660534955446,0.0,94.49724862431216,core,core,True,75.06154046088447,core500,48,True
