symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected
AAPL,358,0.016791823999521283,-0.0532208836239636,0.04182577938268395,0.17698669870775574,0.0875752572852968,46814650.0,1,False,61.324994663532834,54.32649831633612,45.77008253781303,99.39969984992496,core,core,True
MSFT,358,-0.044024518733774554,0.21088624734836592,0.13961641513037626,0.21900633314262774,0.048274893873532565,29993800.0,2,False,78.6533809035979,75.49133960873482,79.51065702858536,98.19909954977489,core,core,True
NVDA,358,0.010298875830639265,0.06006084524227795,-0.010452962869587856,0.18942538327920544,0.024678195664810776,115341700.0,3,False,62.118971665980794,54.79649706382507,49.058853770470215,99.89994997498749,core,core,True
AMZN,357,-0.06034017404534209,0.045281778537899386,-0.010714079400693688,0.3145027737008441,0.07995913081309547,35374650.0,4,False,65.38761012779096,58.500148133517676,72.98166025987996,98.69934967483742,core,core,True
GOOGL,357,-0.0378160366668473,-0.022699481394498733,-0.13250298639533575,0.1266772682339794,0.08910365269516729,28776700.0,5,False,50.439334053902996,37.09970529860345,60.751225692726905,98.09904952476238,core,core,True
META,357,-0.04361933193114842,-0.1190369401393323,-0.07282728675484318,-0.10907848822095612,0.11624551830395813,14932250.0,6,False,39.91772168768744,24.156780059060715,45.64174619651563,94.5472736368184,core,core,True
AVGO,357,-0.07095170846060128,0.03773532069886021,-0.07558719567294314,0.2112913034435362,0.08259308089412454,17140650.0,7,False,59.32709307742616,49.18052808996883,74.4461506046459,95.54777388694347,core,core,True
JPM,357,0.003251849363154813,0.06518723007698424,0.2175081444708542,0.20456684806214742,0.011555948587933185,6128350.0,8,False,64.13099201005302,75.15263924550662,0.0,84.7423711855928,core,core,True
LLY,357,-0.03821977252346809,0.033093934199897035,0.17905457249108614,0.14124532004438084,0.03821977252346809,2222700.0,9,False,65.91137911480119,69.08841282764004,71.59300711958701,59.62981490745373,core,core,True
V,357,-0.005018793715909409,-0.002949144887893107,0.10362739916520747,0.14700701443192932,0.02959317411472473,6348200.0,10,False,63.50584424439324,62.1015283645578,56.56911309530318,85.49274637318659,core,core,True
MA,357,-0.001615805479952992,0.02707147314431957,0.1396247072326109,0.08837563852396002,0.02613660077667468,3017750.0,11,False,61.344297486328784,63.350591992118815,53.436791364832516,68.6343171585793,core,core,True
COST,358,0.01803410721962151,0.03622228510162362,-0.10552227943070569,-0.04720557634362199,0.013018134276713056,1773950.0,12,False,34.55759258935275,32.005849768526325,0.0,52.87643821910956,core,core,True
NFLX,357,-0.003539182975759836,0.12455618874264762,-0.12640772723905247,-0.011057708769932617,0.028374249505586202,35070868.5,13,False,49.386044976065975,36.393319178352755,55.38298758567379,98.64932466233117,core,core,True
AMD,357,0.07760457157950107,0.004825530989610138,0.1931148142367487,1.4406713395909185,0.08388104150839149,26093000.0,14,False,69.74565679206961,81.0981240034107,0.0,97.59879939969986,core,core,True
ORCL,358,-0.018490531484783634,0.12388815313890889,-0.23215929993860807,-0.06613498177803179,0.08596855607238651,28421800.0,15,False,46.88847185662143,29.014388220615373,57.05539411444167,97.99899949974987,core,core,True
SAP.DE,360,0.001561621720753914,0.2988572903651878,0.17051234502885415,0.07656137900639659,0.006198091511358972,3285843.5,16,False,63.69040289624671,70.72597015410703,0.0,70.68534267133568,core,core,True
ASML.AS,362,0.07094721817910576,0.06730157306570894,0.2176686821369529,0.35652214591831033,0.0,578925.0,17,False,63.93486233756165,80.12118947601682,0.0,29.664832416208103,core,core,True
NOVN.SW,355,-0.0023836250619971855,0.00015928503202622402,0.05922048750504838,0.02309425119178843,0.03711653807079751,2006610.0,18,False,50.881337293364105,50.528375998997994,60.45784278214764,56.32816408204102,core,core,True
SIE.DE,358,0.01931747734294431,0.042851773412798444,0.0836851738693618,0.12447713348471168,0.017916243504464635,819646.0,19,False,56.088945705091994,61.930995674019556,42.242457944405075,36.11805902951476,core,core,True
AIR.PA,360,-0.0018634703370979944,0.09523568831321194,0.25748323664717176,0.13402397903348917,0.005338876179527774,861898.0,20,False,61.67048352403043,75.5527231878333,0.0,37.26863431715858,core,core,True
MC.PA,362,-0.07555189405071394,-0.08390675894297916,-0.05867452196962952,-0.14104128553979323,0.08400081004145543,527194.0,21,False,38.911917594009964,24.380095853224976,74.91642002484296,28.31415707853927,core,core,True
SU.PA,362,0.021505376344086002,0.16641475542704431,0.1668556042255427,0.2328736240924314,0.007234726688102877,809202.5,22,False,62.96729383186606,77.05984473680408,0.0,35.867933966983486,core,core,True
ALV.DE,358,0.002056188876820686,0.04528121955106146,0.1499738152134209,0.25043110678641245,0.009261364333548405,477475.0,23,False,55.805484206948265,72.5701120154348,0.0,26.863431715857928,core,core,True
NESN.SW,355,-0.012099304513628728,-0.060275295498729564,0.007121026995677626,0.028239154777652598,0.08088663535814067,2879514.0,24,False,46.5529847778321,41.377595046318824,58.3372371661975,67.1335667833917,core,core,True
ROG.SW,0,,,,,,,25,False,38.505,50.0,0.0,,core,core,True
AZN.L,359,-0.03586321934945791,-0.06617420895383919,-0.16709194739357736,-0.23733840028832787,0.11978351509570562,3162372.0,26,False,33.00101769574994,13.993812113708735,41.18935820339317,69.83491745872936,core,core,True
SHEL.L,359,0.00966993459697263,0.03412774301861532,0.013910833511021625,0.1622778089372694,0.02220187896026815,8111854.5,27,False,62.330616683453755,55.26083391944427,47.70933700366803,89.14457228614307,core,core,True
NOKIA.HE,353,0.194029903858004,0.0540791031846366,-0.18967385643191592,0.5958925425305055,0.0,16510017.5,28,False,46.80631434323635,50.65188834104912,0.0,95.24762381190595,core,core,True
VOLV-B.ST,352,-0.03355892186028475,0.004102034761606088,0.0803909174611146,0.023649902357770536,0.07752352030408816,2768783.0,29,False,52.472293039446114,53.21639416522548,66.67822059243323,66.13306653326664,core,core,True
NOVO-B.CO,349,-0.03275105423213176,-0.11815583099090365,-0.001270644984188829,0.036672201651017255,0.12402522814159589,3345884.0,30,False,35.874171439939126,39.667483910050436,0.0,71.08554277138569,core,core,True
STG,358,-0.07462686779611127,-0.12181305106014206,0.023102288417082395,-0.296254311695608,0.1948051996306679,4050.0,31,True,23.179117369840576,26.288820315247396,0.0,0.6503251625812907,core,core,True
VOR,358,-0.013141138784959927,0.16109733528640757,0.6475584216629449,0.7935286215452817,0.017721521636012594,843300.0,32,True,77.51539280677193,94.42109451400162,51.58901220600206,36.568284142071036,core,core,True
SITC,358,0.02364862579076843,-0.09731041463198087,-0.27453565396843194,-0.39820697158450513,0.11942524853064218,786342.0,33,True,15.919874799668783,6.2536205397359135,0.0,35.06753376688344,core,core,True
XYF,354,0.009523845854259694,0.13247871477301687,0.10416666252745532,0.04626724178748565,0.046762545813030965,40350.0,34,True,49.9875769797463,62.67387472721755,62.956168557717234,6.3031515757878935,core,core,True
ASA,358,-0.010796868378623481,0.1425178285372124,-0.0960062239610312,-0.13680963234739574,0.03203085381853876,46250.0,35,True,35.59714758975191,32.17718484895199,59.763424688574894,7.303651825912956,core,core,True
CYH,358,0.04929581307579878,-0.07165109543308845,0.0642857392223517,-0.1337209390974997,0.07453416379015643,1313300.0,36,True,37.4680700468446,38.3703581820284,0.0,45.97298649324662,core,core,True
SOHU,354,0.011781016819034207,0.1060606509419737,-0.07770053999775162,-0.12627162289695115,0.0,38950.0,37,True,23.498926703449662,33.17493785618283,0.0,6.203101550775387,core,core,True
LUXE,354,-0.05061732159756693,-0.04590574976841455,-0.05528258809859021,-0.17841876717008653,0.0952941109152401,102900.0,38,True,26.972912058170984,24.499364410862164,60.65274537557029,12.656328164082039,core,core,True
QFIN,354,-0.08365312163666028,-0.07441860980894721,-0.09063218002175077,-0.23456976024053589,0.13852814746419984,1005200.0,39,True,19.479035158118023,18.558143007857097,0.0,39.81990995497749,core,core,True
TWN,358,0.020899969183038047,0.09354648231331253,0.05475378874636938,0.5325755721618335,0.024752983095648884,27350.0,40,True,51.96663211199545,71.88520073898152,0.0,4.102051025512756,core,core,True
LYFT,357,-0.0023175501156951217,0.11600771048450853,0.3276791795548113,0.2976638070332436,0.018244104074679357,11578200.0,41,True,77.53871905072914,84.53387771397465,48.755635591879255,93.09654827413706,core,core,True
ONIT,354,-0.012138460895807501,-0.031155003963980632,0.02684563758389258,-0.08052881242784404,0.07831325301204817,62800.0,42,True,34.90992157251443,38.33358825144641,59.94170399191404,9.004502251125562,core,core,True
DEC,354,0.003486763612470467,0.0835843849902862,-0.07517273922957501,0.13769459135081186,0.01774739126127045,798250.0,43,True,43.3482520776317,48.330517190714076,46.755221870006395,35.36768384192096,core,core,True
JOF,354,0.029060142870367622,0.09137348234941833,0.10129998337333967,0.10429708769011725,0.0,76200.0,44,True,43.56821312539191,64.61283709407803,0.0,10.055027513756878,core,core,True
NSLR,354,0.005808365930284776,-0.06899637227754174,-0.22808318619045587,0.07223950394761158,0.06816137230574171,214950.0,45,True,30.194372752589075,28.268678974193456,60.99171041439826,18.25912956478239,core,core,True
TREE,358,-0.008566004246271186,-0.27779062469612237,-0.13793103448275867,-0.19041447576866644,0.24498670063243422,370300.0,46,True,19.49219037609617,14.726452792377026,0.0,23.861930965482742,core,core,True
DLNG,358,0.0,0.11538457197659158,-0.005277039875413392,-0.010896601912323889,0.03333336186205149,53750.0,47,True,44.17065346647432,46.2545900314573,57.42065258126998,8.30415207603802,core,core,True
RIGL,358,0.03807706941196565,0.10964124670629394,0.5246416637999771,0.22700421569661589,0.0,266250.0,48,True,62.092678089950034,84.25990898821195,0.0,20.460230115057527,core,core,True
LKFT,358,-0.025757040825228006,-0.04242216183843617,0.04870735148175398,-0.1750663271627354,0.027449648946461624,224750.0,49,True,39.87543992534625,35.937436772279035,61.290824350405835,18.959479739869938,core,core,True
GGN,354,0.013176023507543988,0.10844541323151291,0.018119446624346836,-6.34859527396392e-05,0.0,456400.0,50,True,36.546810146641754,49.415089385932376,0.0,26.063031515757878,core,core,True
GLQ,354,-0.0011932822137692423,-0.009085510337132785,0.027504532221585665,0.06232916564148239,0.005938181486621508,45000.0,51,True,33.04086089909643,48.383611916679115,0.0,6.953476738369184,core,core,True
UTG,358,0.0036804682687341383,-0.0036456891629421673,-0.020730862015500007,0.0012930290303494463,0.02307120499856863,257250.0,52,True,40.768689362777884,39.41998652346291,49.99441889692359,20.31015507753877,core,core,True
CSHR,96,0.03483608039083452,0.1882353389964384,-0.09172657505275439,,0.06998151926646112,84500.0,53,True,28.75534860160759,43.43474507787246,0.0,10.755377688844423,core,core,True
ATNI,358,0.004154655064330548,0.3456102596567181,0.18834384701251405,0.13730458232189746,0.021488649048333475,76050.0,54,True,61.55068969570942,75.66693954948141,48.876436921871935,10.005002501250624,core,core,True
UNIT,358,0.06903984444924549,-0.10478770364867018,-0.08240743774118353,0.18967586292643146,0.10961367964820468,2171750.0,55,True,41.12239783003667,41.190317547679726,0.0,58.67933966983492,core,core,True
HQL,358,0.02938383510311482,0.09531010574483223,0.26945662741275456,0.348220283658756,0.0,146300.0,56,True,60.72753451343717,83.3046555474196,0.0,15.307653826913455,core,core,True
OPFI,354,-0.19954394361381866,-0.2402597235046252,-0.24516130785457435,-0.23362444346439482,0.2923387170427175,474411.0,57,True,11.769540672900122,9.318620443388909,0.0,26.613306653326664,core,core,True
TEI,354,-0.01027902676204806,-0.00365182353981508,0.07947217164632137,0.011761071332041517,0.013177182078071725,111000.0,58,True,36.01695512180983,51.65880786239721,0.0,13.256628314157078,core,core,True
EMBC,358,0.04508192316238402,0.5133531388196115,0.6882999929282394,-0.49466107982091523,0.005847993984229971,1187700.0,59,True,50.15168407661194,59.445044271448054,0.0,43.42171085542771,core,core,True
GLO,358,-0.0027163529491163185,0.021069029281871154,0.03269390798383043,0.04309301100519858,0.006024138204253404,94150.0,60,True,39.593486830970825,50.02837118164783,0.0,11.955977988994498,core,core,True
FINV,358,-0.011286617570018365,-0.08559495838774489,-0.09128631567429968,-0.19553783339259534,0.11871221341198113,376200.0,61,True,27.132075513577213,19.740010622257124,34.68436944098132,24.012006003001503,core,core,True
TDF,354,-0.02419350428145084,-0.003659648740731103,-0.032194244726264754,-0.06088169766770535,0.02419350428145084,48000.0,62,True,32.08865656657726,34.34532512296286,58.8190842563213,7.653826913456728,core,core,True
BYD,354,0.016081482608848452,-0.05556826540960991,0.00911942454822845,-0.015001377785021086,0.09303095873798484,908600.0,63,True,37.38555668898388,38.94308842727969,42.59992644890478,38.019009504752376,core,core,True
STNE,355,-0.10607516296381381,-0.17232137360438915,-0.04334356458279798,-0.3649590515760158,0.18897635955740166,3293150.0,64,True,24.479153962814426,17.12313719090677,0.0,70.78539269634817,core,core,True
ETG,354,-0.00047229337812493277,0.0462265873784915,0.09874183024306316,0.08379379289723587,0.00613997612183792,92200.0,65,True,41.52844070192701,60.9597968041699,0.0,11.555777888944473,core,core,True
CEF,354,0.004233480886522756,0.12562434226484398,-0.13092944148889996,-0.12655036768212036,0.0,526050.0,66,True,24.680592269953884,29.75560679342721,0.0,28.214107053526767,core,core,True
GAIN,358,-0.012174514927402291,-0.012018739427044012,0.011136111780925662,0.2119514149633992,0.03561053170805906,181650.0,67,True,50.93174655067529,54.03777193941701,62.38122933976699,16.908454227113555,core,core,True
AVK,358,-0.00036825466935941353,0.017002939388667038,0.06776985133470137,0.07051494743488806,0.01619121309355842,141400.0,68,True,49.56172191123524,55.51851548537212,46.91625381267075,15.057528764382191,core,core,True
GLV,354,0.0031746218446060404,-0.014474572667032337,0.037022956845053745,0.05104351241974503,0.017107224179357616,52450.0,69,True,39.32232099169616,48.48502165398901,46.44996931111604,8.15407703851926,core,core,True
LNC,358,0.014629788913217423,0.07795318412290508,0.3144852019009641,0.11126541366887865,0.040851024871176866,1844450.0,70,True,68.66201211810687,74.6015991193884,57.80742220151631,54.07703851925964,core,core,True
AOD,355,0.0009284377699640967,0.019867553851472985,0.04464508504362619,0.09716544174849973,0.001851894204671356,412889.0,71,True,40.80162897469013,54.58430934854974,0.0,24.7623811905953,core,core,True
CHTR,358,-0.05923011093465569,0.16088899789255806,0.05056298456324115,-0.37407700290361867,0.05923011093465569,2591600.0,72,True,51.98264144509964,39.4743819339734,85.49014225353534,64.08204102051025,core,core,True
ROLR,356,-0.1424288268719397,-0.1781609541895145,-0.09350240220889716,0.4299999475479126,0.17460318443284206,54850.0,73,True,33.50047393229223,45.596515911707606,0.0,8.454227113556778,core,core,True
HTT,354,-0.011811012535560939,-0.05992512406695294,0.16203698644667708,-0.11929821948999164,0.045627421580234695,86900.0,74,True,41.77634556855483,47.12277137337836,68.4761396344458,11.05552776388194,core,core,True
AEF,358,-0.008762313549100509,0.01799773242216851,0.02121260221286092,0.1419890891669915,0.04936977357448735,93650.0,75,True,51.376503300065764,54.42443504525901,69.90362985507507,11.755877938969485,core,core,True
PBR,357,-0.004364425752265921,0.003298486211149143,-0.07724625167840149,0.21779622581090008,0.05927833201768884,13941600.0,76,True,57.20426316240439,47.117226904418956,69.45779959536543,94.24712356178088,core,core,True
PBR-A,357,-0.00608274806698228,0.007398325789977012,-0.08390128349929304,0.1722276628436057,0.04723029060987227,6784600.0,77,True,54.581353764916315,45.07445365227404,67.79764808755266,86.64332166083042,core,core,True
FTW,354,-0.007023698094351105,-0.0699012696103205,0.01434984812201412,0.08015800621441316,0.0714285602430883,85050.0,78,True,39.73070654260735,45.08040609057582,62.71185084132156,10.855427713856928,core,core,True
GSL,354,0.03581661799770108,0.05444826717791407,0.05414017521345493,0.20196352932161155,0.024510908987347646,331600.0,79,True,44.24116979328558,62.66044184735745,0.0,22.611305652826413,core,core,True
GGT,354,-0.004698965046369685,0.014493232329550354,0.021659265414027296,0.11296517398806771,0.011724678465626304,283600.0,80,True,37.61994537415902,52.35623521675667,0.0,21.060530265132567,core,core,True
PGP,354,0.020635543886576846,0.02415913252729518,0.0038587994472714104,-0.00241989720069824,0.006749203295786765,71300.0,81,True,30.44050150194026,43.548034099613176,0.0,9.604802401200601,core,core,True
AGD,354,0.0056360462475220086,0.02629414074101355,0.009849349732877988,0.061612652150645486,0.0,84250.0,82,True,33.58063540182087,48.35860685846143,0.0,10.655327663831917,core,core,True
RCI,354,0.042461041769393804,0.06585940643942512,0.0037388855127178378,-0.02288744649818608,0.009604788345534132,1292100.0,83,True,36.41283996764909,44.466803639989784,0.0,45.62281140570285,core,core,True
LIME,34,-0.041759386963934664,0.5358415358137376,,,0.045532912630666056,335150.0,84,True,49.10483645436964,57.31174698795181,77.15257663584565,22.911455727863935,core,core,True
EVT,358,0.007661714697553945,0.06682844142652744,0.1477626275945414,0.1683093210328963,0.007291784117235189,100500.0,85,True,52.05825693150719,70.04811930649427,0.0,12.30615307653827,core,core,True
BHF,358,-0.08775510058442071,-0.15700143817022105,-0.1444976277998098,-0.16069473450608263,0.15858824486825984,760000.0,86,True,21.965899192035792,16.174712343978072,0.0,34.3671835917959,core,core,True
BHFAN,358,-0.011150758213615775,-0.05012853764545577,-0.13467629455563201,-0.1333579280932825,0.042746104388631356,70100.0,87,True,29.50007774344943,20.398191626963673,66.49989291002878,9.504752376188094,core,core,True
