symbol,name,region,history_days,fetch_error,price_business_days_lag,security_id,economic_company_id,sector,industry,accounting_model,ret_63d,ret_126d,dist_sma_50,dist_sma_200,type,exchange,is_delisted,market_cap_eur,price_eur,median_turnover_eur_20d,days_to_earnings,next_earnings,ret_63d_rank,ret_126d_rank,dist_sma_50_rank,dist_sma_200_rank,rsi_setup_score,sector_ret_63d,sector_ret_126d,sector_ret_63d_rank,sector_ret_126d_rank,stock_vs_sector_63d,stock_vs_sector_63d_rank,estimate_confidence_score,information_freshness_score,quality_score,valuation_score,revisions_score_raw,revisions_score,reaction_score,sector_score,technical_short_score,technical_swing_score,technical_medium_score,technical_long_score,short_score,swing_score,medium_score,long_score,consensus_score,best_fit_horizon,data_confidence,risk_score,exclusion_reasons,excluded,event_watch,duplicate_of,market_regime_score,economic_company_group_size,score_change_1run,score_velocity_5run,score_velocity_20run,score_acceleration,rank_change,rank
NFLX,NFLX,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:NFLX,TICKER:NFLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
AMD,AMD,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:AMD,TICKER:AMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
ORCL,ORCL,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:ORCL,TICKER:ORCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
SAP.DE,SAP.DE,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:SAP.DE,TICKER:SAP.DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
ASML.AS,ASML.AS,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:ASML.AS,TICKER:ASML.AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
NOVN.SW,NOVN.SW,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:NOVN.SW,TICKER:NOVN.SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
SIE.DE,SIE.DE,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:SIE.DE,TICKER:SIE.DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
AIR.PA,AIR.PA,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:AIR.PA,TICKER:AIR.PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
MC.PA,MC.PA,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:MC.PA,TICKER:MC.PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
SU.PA,SU.PA,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:SU.PA,TICKER:SU.PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
ALV.DE,ALV.DE,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:ALV.DE,TICKER:ALV.DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
NESN.SW,NESN.SW,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:NESN.SW,TICKER:NESN.SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
ROG.SW,ROG.SW,OTHER,0,No price history; refresh=None,,TICKER:ROG.SW,TICKER:ROG.SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
AZN.L,AZN.L,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:AZN.L,TICKER:AZN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
SHEL.L,SHEL.L,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:SHEL.L,TICKER:SHEL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
NOKIA.HE,NOKIA.HE,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:NOKIA.HE,TICKER:NOKIA.HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
VOLV-B.ST,VOLV-B.ST,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:VOLV-B.ST,TICKER:VOLV-B.ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
NOVO-B.CO,NOVO-B.CO,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:NOVO-B.CO,TICKER:NOVO-B.CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
