pair,last,as_of,return_5d,return_20d,return_63d,return_126d,return_252d,ma_20,above_ma_20,ma_50,above_ma_50,ma_200,above_ma_200,vol_20d_ann,rank_5d,rank_20d,rank_63d,rank_126d,rank_252d,momentum_score,trend_score,fx_score,signal,rank
EURCHF,0.938,2026-08-26,-0.0023399276749628273,0.005143591941705772,0.02952475030183277,0.026258205689277725,0.0017086715079024373,0.9355549999999999,True,0.928832,True,0.9226840000000002,True,0.03457276197602755,20.0,70.0,100.0,90.0,40.0,73.5,100.0,80.125,long,1
AUDUSD,0.7184902407487224,2026-08-26,0.015420804697957369,0.03524468168337447,0.0019619142285944857,0.009073139876655034,0.101031750812826,0.7079471311767238,True,0.7004099782070144,True,0.6949494784779447,True,0.05713830801564401,100.0,100.0,40.0,50.0,100.0,72.0,100.0,79.0,long,2
GBPUSD,1.3629939378365437,2026-08-26,0.005456139856189646,0.025658926771813917,0.015140186113007159,0.005920445572779931,0.013418378209569592,1.3524894983027564,True,1.3402708746173853,True,1.3423637694429567,True,0.043151913820070734,80.0,90.0,80.0,30.0,60.0,69.5,100.0,77.125,long,3
GBPJPY,216.81286720474696,2026-08-26,0.00535781256981771,-0.0032334845612012053,0.013893894990416378,0.025324830047290137,0.09441761759302736,214.99064190735675,True,215.7306565252148,True,212.48362617345722,True,0.09353283164956287,60.0,50.0,70.0,80.0,90.0,69.0,100.0,76.75,long,4
EURUSD,1.1669,2026-08-26,0.005514864282636811,0.025395430579965073,0.0021470285125386734,-0.012273573726087617,0.0009435580717105374,1.15766,True,1.147664,True,1.1628880000000001,True,0.045636382270846196,90.0,80.0,50.0,20.0,30.0,52.5,100.0,64.375,long,5
EURJPY,185.62,2026-08-26,0.0054165312533853704,-0.003489558168250473,0.0009166891345377959,0.0067798448771492215,0.08094572559981361,184.02049999999997,True,184.72760000000005,True,184.05675,True,0.09505262719099214,70.0,40.0,30.0,40.0,80.0,46.0,100.0,59.5,long,6
USDCHF,0.8038392321535692,2026-08-26,-0.007811711429252188,-0.019750271977323597,0.02731906697356612,0.03901057862825663,0.000764392187773355,0.8081626980395609,False,0.8093438914847004,False,0.7935647237271081,True,0.06682011946456919,10.0,20.0,90.0,100.0,20.0,56.0,33.333333333333336,50.333333333333336,neutral,7
USDJPY,159.07104293427028,2026-08-26,-9.779371021190197e-05,-0.02816960938852442,-0.001227703463659413,0.0192901780254211,0.07992675199611154,158.9601038397322,True,160.972365979698,False,158.29853184018543,True,0.10593340395181525,40.0,10.0,20.0,70.0,70.0,37.0,66.66666666666667,44.41666666666667,short,8
USDCAD,1.3862370383066243,2026-08-26,-0.0006658697013058879,-0.01717167180054935,0.004189627599995971,0.01374214611912472,0.008093780336761558,1.3927124319070274,False,1.405777072964536,False,1.3851063070558485,True,0.052129147657591586,30.0,30.0,60.0,60.0,50.0,48.0,33.333333333333336,44.333333333333336,short,9
EURGBP,0.85613,2026-08-26,5.840575647142465e-05,-0.00025690430314706525,-0.012799372715427304,-0.018086936575295365,-0.012309644670050801,0.8559485,True,0.8563133999999999,False,0.8663196999999999,False,0.017396461202894686,50.0,60.0,10.0,10.0,10.0,26.5,33.333333333333336,28.208333333333336,short,10
