symbol,region,name,type,exchange,currency,financial_currency,country,sector,industry,accounting_model,security_id,economic_company_id,primary_ticker,is_delisted,market_cap_vendor,shares_outstanding,company_shares_outstanding,net_income_ttm,operating_income_ttm,cfo_ttm,gross_profit_ttm,total_assets,total_equity,tangible_equity,cash_total,debt_total,net_payout_ttm,dividends_paid_ttm,sbc_ttm,profit_margin,operating_margin,roa,roe,roic,gross_profitability,cash_conversion,interest_coverage,earnings_stability,asset_turnover,revenue_growth_yoy,earnings_growth_yoy,revenue_ttm,ebitda,fcf_ttm,fcf_margin,net_debt,net_debt_ebitda,net_debt_change_1y,share_count_change_1y,sbc_yield,shareholder_yield,forward_pe,trailing_pe,price_sales,price_book,price_tangible_book,enterprise_value,ev_ebitda,ev_ebit,ev_revenue,earnings_yield,forward_earnings_yield,ebit_yield,fcf_ev_yield,cfo_yield,dividend_yield,net_cash_yield,peg_ratio,forward_pe_to_growth,current_ratio,quick_ratio,debt_to_equity,accrual_ratio,fcf_to_net_income,altman_z_score,beta,short_percent,eps_revision_7d,eps_revision_30d,eps_revision_90d,revision_breadth_7d,revision_breadth_30d,estimate_growth,estimate_dispersion,analyst_count,revenue_estimate_growth,revenue_estimate_dispersion,long_term_growth_estimate,revision_freshness_signal,filing_date,filing_age_days,fundamentals_age_days,last_earnings_surprise,last_earnings_date,next_earnings,days_to_earnings,sec_cik,sec_latest_form,roa_rank_hint,roe_rank_hint,earnings_growth_yoy_rank_hint,quality_rank_fallback_source,estimate_growth_fallback_source,revision_history_fallback_source,price_native,price_eur,history_days,ret_5d,ret_eur_5d,ret_20d,ret_eur_20d,ret_63d,ret_eur_63d,ret_126d,ret_eur_126d,ret_252d,ret_eur_252d,mom_12_1,mom_eur_12_1,dist_sma_20,dist_sma_50,dist_sma_200,sma200_slope_20d,rsi14,volatility_20d,volatility_63d,max_drawdown_252d,median_turnover_eur_20d,volume_ratio_20_60,distance_52w_high,pullback_from_10d_high,pullback_from_20d_high,risk_adj_mom_126d,relative_20d,relative_63d,relative_126d,relative_252d,earnings_reaction_1d,earnings_reaction_5d,earnings_reaction_20d,latest_price_date,price_business_days_lag,price_refresh_error,market_cap_eur,market_cap_source,fcf_yield,revenue_growth_yoy_rank_hint,fetch_error,ret_5d_rank,ret_20d_rank,ret_63d_rank,ret_126d_rank,ret_252d_rank,mom_12_1_rank,ret_eur_20d_rank,ret_eur_63d_rank,ret_eur_126d_rank,mom_eur_12_1_rank,relative_20d_rank,relative_63d_rank,relative_126d_rank,relative_252d_rank,risk_adj_mom_126d_rank,dist_sma_20_rank,dist_sma_50_rank,dist_sma_200_rank,sma200_slope_20d_rank,volume_ratio_20_60_rank,distance_52w_high_rank,rsi_setup_score,profit_margin_qrank,operating_margin_qrank,roa_qrank,roe_qrank,roic_qrank,gross_profitability_qrank,cash_conversion_qrank,interest_coverage_qrank,earnings_stability_qrank,asset_turnover_qrank,revenue_growth_yoy_qrank,earnings_growth_yoy_qrank,fcf_margin_qrank,net_debt_ebitda_qrank,share_count_change_1y_qrank,sbc_yield_qrank,shareholder_yield_qrank,net_debt_change_1y_qrank,forward_pe_vrank,ev_ebitda_vrank,price_sales_vrank,price_book_vrank,fcf_yield_vrank,eps_revision_7d_rank,eps_revision_30d_rank,eps_revision_90d_rank,revision_breadth_7d_rank,revision_breadth_30d_rank,estimate_growth_rank,revenue_estimate_growth_rank,long_term_growth_estimate_rank,estimate_dispersion_rank,revenue_estimate_dispersion_rank,last_earnings_surprise_rank,earnings_reaction_1d_rank,earnings_reaction_5d_rank,earnings_reaction_20d_rank,sector_ret_63d,sector_ret_126d,sector_ret_63d_rank,sector_ret_126d_rank,stock_vs_sector_63d,stock_vs_sector_63d_rank,estimate_confidence_score,information_freshness_score,quality_score,valuation_score,revisions_score_raw,revisions_score,reaction_score,sector_score,technical_short_score,technical_swing_score,technical_medium_score,technical_long_score,short_score,swing_score,medium_score,long_score,consensus_score,best_fit_horizon,data_confidence,risk_score,forward_pe_value_rank,trailing_pe_value_rank,ev_ebitda_value_rank,ev_ebit_value_rank,ev_revenue_value_rank,price_sales_value_rank,price_book_value_rank,price_tangible_book_value_rank,peg_ratio_value_rank,forward_pe_to_growth_value_rank,fcf_yield_value_rank,fcf_ev_yield_value_rank,cfo_yield_value_rank,earnings_yield_value_rank,forward_earnings_yield_value_rank,ebit_yield_value_rank,shareholder_yield_value_rank,dividend_yield_value_rank,net_cash_yield_value_rank,current_ratio_safety_rank,quick_ratio_safety_rank,interest_coverage_safety_rank,altman_z_score_safety_rank,net_debt_ebitda_safety_rank,debt_to_equity_safety_rank,net_cash_yield_safety_rank,cash_conversion_safety_rank,fcf_to_net_income_safety_rank,earnings_stability_safety_rank,fcf_margin_safety_rank,accrual_ratio_safety_rank,earnings_multiple_score,enterprise_multiple_score,cashflow_value_score,sales_asset_value_score,growth_adjusted_value_score,capital_return_value_score,undervaluation_score_raw,undervaluation_score,value_data_points,value_data_coverage,balance_sheet_safety_score,earnings_quality_score,value_safety_score,value_trap_risk_score,value_conviction_score,quality_value_score,deep_value_score,pullback_candidate,pullback_setup_score,pullback_opportunity_score,exclusion_reasons,excluded,event_watch,duplicate_of,market_regime_score,economic_company_group_size,score_change_1run,score_velocity_5run,score_velocity_20run,score_acceleration,rank_change,prev_rank,rank,value_rank,quality_value_rank,pullback_rank,short_score_pre_guard,technical_short_score_pre_guard,swing_score_pre_guard,technical_swing_score_pre_guard,medium_score_pre_guard,technical_medium_score_pre_guard,long_score_pre_guard,technical_long_score_pre_guard,deep_selection_tier,deep_selection_reason,entry_opportunity_score,entry_rank,entry_signal_label,entry_is_confluence,quality_component_coverage,revisions_component_coverage,valuation_component_coverage,technical_component_coverage,context_component_coverage,core_alpha_components_present,core_alpha_component_coverage,score_completeness,score_completeness_tier,fresh_score_change_1run_pct,fresh_velocity_5run_pct,fresh_acceleration_pct,fresh_rank_change_pct,fresh_new_exact,fresh_new_exact_bonus,fresh_opportunity_raw_score,fresh_opportunity_input_coverage,fresh_opportunity_score,fresh_opportunity_candidate,fresh_opportunity_rank,fresh_opportunity_reason,sector_neutral_alpha_score,sector_neutral_alpha_residual,consecutive_top10,consecutive_top25,signal_age_runs,persistence_label,breakout_momentum_inflection,breakout_change_pct,breakout_velocity_pct,breakout_acceleration_pct,breakout_revision_strength,breakout_quality_strength,breakout_sector_relative,breakout_pullback_recovery,breakout_revision_shock,breakout_quality_shock,signal_breakout_raw_score,signal_breakout_input_coverage,signal_breakout_score,signal_state,signal_breakout_candidate,signal_breakout_rank,dir_change,dir_velocity,dir_acceleration,dir_inflection,dir_sector,dir_pullback,breakout_direction_score,breakout_direction_coverage,direction_confidence,breakout_direction,direction_reason,adaptive_volume_rank,stage1_ret_5d,stage1_ret_20d,discovery_breakout_direction,discovery_breakout_confidence,discovery_signal_freshness,discovery_freshness_score,explosive_technical,explosive_acceleration,explosive_catalyst_proxy,explosive_relative_strength,explosive_revisions,explosive_fundamental_support,explosive_risk_control,explosive_score_raw,explosive_input_coverage,explosive_candidate,explosive_score,explosive_rank,explosive_signal_label,news_catalyst_score,news_event_delta,news_confirmed,news_article_count,best_news_title,best_news_provider,best_news_reason,best_news_published_at,explosive_score_pre_news
SHELL.AS,EUROPE,SHELL.AS,Common Stock,Amsterdam,EUR,,,Unknown,Unknown,standard,TICKER:SHELL.AS,NAME:shell as,SHELL.AS,False,240887283712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.621411,10.714467,,1.5184757,,,,,,,0.1039348594504485,,,,3.32,,,,,,,,,,,,0.006327362732786,0.0961269347093291,,,,0.3199075488535954,,,,,,,,,,,,,,,,999982.0,999970.0,999988.0,yahoo_screener_sort_order,yahoo_screen_current_year_vs_ttm,persisted_yahoo_screen_eps_forward,42.310001373291016,42.310001373291016,366.0,0.018046197671254,0.018046197671254,0.0915893499867774,0.0915893499867774,0.2674256683993337,0.2674256683993337,0.0756206609929626,0.0756206609929626,0.4234405721990046,0.4234405721990046,0.3275494409455681,0.3275494409455681,0.0331040470911507,0.0674680066220532,0.1797606464564667,0.0288988582587197,65.46920309955331,0.1682161197943946,0.1921145232726409,-0.1731186767798671,179880916.42287445,1.0101044219586324,-0.0091334750042189,0.0091334750042189,0.0091334750042189,0.3936228230160659,0.1153241600966685,0.2609088578174814,-0.0221757220693183,0.3122138015471654,,,,2026-09-24,0.0,,240887283712.0,yahoo_screen_market_cap,,999995.0,,75.82748244734202,86.74698795180723,80.36253776435045,34.3087790110999,72.45934959349594,65.85365853658537,84.93975903614458,80.56394763343404,32.89606458123108,64.53252032520325,88.75502008032129,83.18227593152065,43.59233097880929,74.89837398373984,42.28052472250252,82.93172690763052,77.98994974874371,73.35359675785207,65.72008113590265,53.272910372608266,94.3089430894309,100.0,,,90.5857740585774,85.37117903930131,,,,,,,98.4126984126984,94.48818897637796,,,,,,,69.83050847457628,,,46.59685863874346,,91.33089133089132,93.342776203966,,,,54.41919191919192,,,,,,,,,0.0715912311472208,0.193460782362365,50.0,50.0,0.1958344372521128,81.47029204431017,,100.0,94.18258479415604,64.19810851437438,83.26037470824315,83.26037470824315,,59.44108761329305,83.44205530498739,72.24131392955935,56.96525974714234,68.7529712282753,81.58845022657685,74.78954632958734,73.69526367960889,78.88797068372145,76.83875850665439,short,73.13636363636364,2.474743275238133,91.66666666666669,88.46153846153845,,,,,92.3076923076923,,,,,,,,91.66666666666666,,,44.0,,,,,,,,,,,,,,90.72398190045249,,,92.30769230769228,,44.0,78.1850175967823,61.41093829829243,5.0,0.2631578947368421,,,88.78462062623923,11.215379373760769,73.20750983994152,76.98731773294296,68.52314475831794,False,37.17629591992451,77.69624266634477,[],False,False,,78.54336452002005,1,2.686531857709753,2.555019915881348,0.1167777917356119,2.438242124145736,25.0,35.0,10.0,,,,81.82584404872887,83.78665924036933,74.86548491748003,72.40354636733012,73.46466283469863,56.18598792641114,78.88530627314171,68.72632712247793,adaptive,adaptive_balanced,,,,,1.0,1.0,1.0,1.0,0.5,3,1.0,95.0,high,92.07683073229292,97.4779319041614,97.19188767550702,72.29020979020979,False,0.0,83.26835581244718,1.0,83.26835581244718,True,3.0,sharp_1run_rise,98.8988988988989,26.64904857588804,0.0,1.0,1,new_top25,80.6484295845998,92.07683073229292,97.4779319041614,97.19188767550702,83.26037470824315,94.18258479415604,98.8988988988989,81.66306282035066,,,91.22558485028866,0.8800000000000001,91.22558485028866,Breakout,True,2.0,0.5860530184234289,0.6919426324699262,0.7510227285000124,0.9031835746103304,1.0,0.9046589377243046,0.7691711004934143,1.0,76.91711004934143,UP,sector relative positive; pullback recovery positive; momentum inflection positive,78.08904452226113,0.0160008921765206,0.0893962926376832,MIXED,33.729629728797576,NONE,53.17632721027034,86.21761866995712,95.5017332254111,65.38018735412157,88.1868405747916,83.26037470824315,80.6895704682543,72.87375795133315,82.96301876141825,1.0,True,86.07698129059393,1.0,A+,80.95,30.95,True,3.0,Shell Completes $840 Million Gulf Oil Asset Sale,Oilprice.com,asset sale,2026-09-23T18:40:50+00:00,82.96301876141825
SHEL.L,EUROPE,SHEL.L,Common Stock,LSE,GBp,,,Unknown,Unknown,standard,TICKER:SHEL.L,NAME:shel l,SHEL.L,False,20724923132496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.641956,10.718934,,1.5227944,,,,,,,0.1037133959126135,,,,3.3,,,,,,,,,,,,0.0229359333916729,0.091627886379378,,,,0.4054016968920804,,,,,,,,,86.0,,,,,,,,,,,yahoo_screen_current_year_vs_ttm,persisted_yahoo_screen_eps_forward,36.2439990234375,0.421687015979494,362.0,0.014953767108303,0.0135367286900018,0.0751705435608871,0.0709549243266809,0.2616372751255058,0.2660849318371174,0.0746662008072636,0.0822682607268776,0.392912684368053,0.417707988697118,0.2791759477985667,0.3058761851307015,0.0341482079576405,0.0710650751047767,0.1714385266506499,0.0256851398109383,65.36856657327607,0.1971316640152425,0.2055650355161773,-0.1910387126584891,3238899.992881092,1.0899023897309954,-0.0076933874486652,0.0076933874486652,0.0076933874486652,0.3632242254611806,0.1016314764382142,0.2579373751544869,-0.0193737181165791,0.2982587104576086,,,,2026-09-24,0.0,,24112766878994.77,yahoo_fast_info,,,,73.72116349047143,84.13654618473896,79.7583081570997,34.10696266397578,70.1219512195122,61.07723577235772,80.82329317269075,80.46324269889224,34.3087790110999,62.70325203252033,86.14457831325302,82.98086606243706,43.99596367305752,73.57723577235772,40.66599394550959,83.73493975903614,78.5929648241206,71.42857142857143,62.06896551724138,65.96173212487412,94.91869918699189,100.0,,,,,,,,,,,,,,,,,,,69.49152542372882,,,46.33507853403143,,97.55799755799757,93.05949008498584,,,,60.47979797979798,,,,,,,,,0.0715912311472208,0.193460782362365,50.0,50.0,0.1900460439782849,80.86606243705941,,78.0,,63.87784132925672,86.42986005143125,85.62840313029976,,59.25981873111782,83.75850019530216,71.65603696073514,55.00116174526806,65.81676200712654,81.05467028738808,73.02903206849314,66.57180006222835,68.58342247275756,70.80622727062536,short,67.04545454545455,2.8790251663238093,87.50000000000001,84.61538461538461,,,,,88.46153846153845,,,,,,,,87.5,,,40.0,,,,,,,,,,,,,,86.65158371040725,,,88.46153846153845,,40.0,74.1955756661639,59.7957796219287,5.0,0.2631578947368421,,,83.3046672253363,16.695332774663697,67.432773986114,69.66408184428444,66.6106417413792,False,37.18677206163292,,['price < €2.00'],True,False,,78.54336452002005,1,7.014850265463721,2.2149632216536075,0.4435660510223869,1.7713971706312206,,,,,,,81.0898295193485,83.80556819937821,73.11834611169212,71.82857545327865,66.25882439572781,54.21332644683566,68.57834964541203,65.78632504305338,core,core,,,,,0.0,1.0,1.0,1.0,0.5,2,0.6666666666666666,65.00000000000001,medium,97.8391356542617,94.95586380832285,90.3276131045242,,False,0.0,81.5231518017681,0.9000000000000001,75.61256083893659,False,,sharp_1run_rise,95.995995995996,20.61651733985901,0.0,0.0,0,rotating,83.58662613981764,97.8391356542617,94.95586380832285,90.3276131045242,85.62840313029976,,95.995995995996,,,,91.7971832521648,0.81,83.9602113923839,Breakout,True,9.0,0.9417965999449096,0.628129722292731,0.6097723414614703,0.9325460746060324,1.0,,0.8144287427581249,0.92,81.4428742758125,UP,sector relative positive; score change positive; momentum inflection positive,89.14457228614307,0.0144777236549635,0.0746662566514015,MIXED,31.03637544066716,NONE,53.547938899636826,83.0791434015839,94.57653374326185,66.56420156514989,88.35924988035461,85.62840313029976,,69.37050128681776,82.40335344368673,0.9500000000000001,True,85.28051313065674,2.0,A+,80.95,30.95,True,3.0,Shell Completes $840 Million Gulf Oil Asset Sale,Oilprice.com,asset sale,2026-09-23T18:40:50+00:00,82.40335344368673
BZUN,US,BZUN,Common Stock,NMS,USD,,United States,Unknown,Unknown,standard,TICKER:BZUN,NAME:bzun,BZUN,False,174431072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4481082,,,0.3211188,,,,,,,0.290014101065622,,,,,,,,,,,,,,,,0.0024103425775965,0.1559955188385669,,,,1.1008142914339536,,,,,,,,,,,,,,,,,,,,yahoo_screen_current_year_vs_ttm,persisted_yahoo_screen_eps_forward,3.0,2.6205599286239707,358.0,0.0869565254949367,0.0954717817595032,0.0600706999565285,0.0804799241476506,0.0416666252745538,0.035443455053256,0.4084506285519329,0.4280355995090106,-0.3103448124665187,-0.292933705291848,-0.2995049627653912,-0.2915359567521631,0.0579211955452236,0.0689090063157449,0.1086781771132308,-0.0040578601800465,62.61098236772145,0.4372204599173105,0.4840926111748684,-0.5183907874620545,415361.1225970352,0.8985787068607838,-0.2771084503470628,0.0,0.0066225102823933,0.8437448106482017,0.0561614067672133,-0.008032313148506,0.2301569790157744,-0.4861537268151635,,,,2026-09-23,1.0,,152369025.86337423,yahoo_screen_market_cap,,,,91.97592778335006,80.82329317269075,40.88620342396778,76.18567103935419,13.414634146341465,12.601626016260164,82.6305220883534,39.67774420946626,77.19475277497477,12.703252032520329,78.01204819277109,34.64249748237664,74.36932391523713,13.516260162601624,65.08577194752775,88.75502008032129,78.09045226130652,55.319148936170215,25.35496957403652,30.71500503524673,23.47560975609756,100.0,,,,,,,,,,,,,,,,,,,96.30434782608695,,,94.25925925925928,,86.6910866910867,96.88385269121812,,,,87.87878787878788,,,,,,,,,0.0934456535912181,0.1747603236222467,50.0,50.0,-0.0517790283166642,36.95871097683786,,100.0,,95.80856877958328,91.70424683448935,91.70424683448935,,46.08761329305136,73.44875623170714,52.90660661119944,45.619908417816085,21.018657385013995,72.5716353551294,64.30057916831862,67.7663754906281,74.92776510365336,70.16900542287875,long,70.29545454545455,7.770240517660489,86.66666666666667,,,,,,83.9160839160839,,,,,,,,86.66666666666667,,,,,,,,,,,,,,,,,86.66666666666667,,,83.9160839160839,,,85.60875022413485,58.649898839870815,3.0,0.1578947368421052,,,67.80098202193169,32.19901797806831,64.49752043583455,67.09098507520669,63.602528612103626,False,35.05203017481493,,"['market cap < €250,000,000', 'insufficient median EUR turnover']",True,False,,80.34698918757817,1,3.826865962729173,3.496538869915567,0.8460787148869742,2.6504601550285924,,,,,,,73.06051740500645,74.10322736299416,63.79208921273317,51.924296469727565,67.69794596592253,45.44765478666067,74.70772841676916,19.69843726370888,core,core,,,,,0.0,1.0,1.0,1.0,0.5,2,0.6666666666666666,65.00000000000001,medium,94.3577430972389,99.24337957124844,98.28393135725427,,False,0.0,82.85125462278815,0.9000000000000001,76.69164438101538,False,,sharp_1run_rise,95.3953953953954,19.979295492112406,0.0,0.0,0,rotating,91.48936170212764,94.3577430972389,99.24337957124844,98.28393135725427,91.70424683448935,,95.3953953953954,,,,95.15859520655964,0.81,86.69135860532973,Breakout,True,6.0,0.7428086688794031,0.822828404526005,0.7857342953173887,0.9820400499149176,1.0,,0.8489555908457312,0.92,84.89555908457312,UP,sector relative positive; momentum inflection positive; 5-run velocity positive,15.207603801900952,0.0989010912234891,0.0638298124178375,UP,59.3800859030265,NEW,86.49384094028981,86.06282877306492,97.24557234114685,83.35212341724468,76.55711228149734,91.70424683448935,,46.925821463463606,84.87950415135921,0.9500000000000001,True,84.87950415135921,3.0,A+,50.0,0.0,False,0.0,,,,,84.87950415135921
XP,US,XP,Common Stock,NMS,USD,,United States,Unknown,Unknown,standard,TICKER:XP,NAME:xp,XP,False,10595408896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.751234,10.598984,,2.2987695,,,,,,,0.1142695990074085,,,,0.94,,,,,,,,,,,,0.0083585186289179,,,,,0.8173399128053065,,,,,,,,,,,,,,,,-999108.0,999427.0,,yahoo_screener_sort_order,yahoo_screen_current_year_vs_ttm,persisted_yahoo_screen_eps_forward,20.8799991607666,18.23909637013569,358.0,0.0566801072323743,0.0649581769543037,0.1730337109955224,0.1956177782586143,0.3419022235014151,0.3338853726639543,0.100440432185265,0.1157424196794951,0.0966832721617843,0.124370253037789,-0.0655677759107141,-0.0549374421939778,0.0686729438132864,0.1756557714925239,0.1625814621899923,0.0066674147943197,68.03499582626375,0.412560199381398,0.4001087264886334,-0.3405872673104774,115566313.25000072,1.2839766450985652,-0.0784111317356008,0.0155587382948325,0.0155587382948325,0.2510328456635608,0.1712992608781771,0.2904096044621922,-0.0821362008137409,-0.0688497684855264,,,,2026-09-23,1.0,,9255301326.747849,yahoo_screen_market_cap,,,,88.36509528585758,93.574297188755,85.90130916414904,38.54692230070636,45.02032520325203,26.727642276422763,93.97590361445783,85.69989929506546,39.05146316851665,26.727642276422763,93.3734939759036,85.2970795568983,34.71241170534813,44.3089430894309,34.20787083753784,90.26104417670685,92.8643216080402,69.50354609929079,36.105476673428,85.2970795568983,65.2439024390244,100.0,,,51.53203342618384,67.0103092783505,,,,,,,,,,,,,,,73.04347826086958,,,37.96296296296296,,93.16239316239316,,,,,77.90404040404042,,,,,,,,,0.0934456535912181,0.1747603236222467,50.0,50.0,0.2484565699101969,85.39778449144008,,100.0,58.16558021996954,64.53911091592252,86.22677827223282,86.22677827223282,,60.61933534743203,89.4172681065231,70.28764610695451,41.41086761760168,39.14502649694504,83.39686220681223,71.34244350505126,60.75912387980113,62.13378382436288,66.73811366470707,short,67.63636363636363,6.237080565143065,77.35849056603773,73.80952380952381,,,,,40.366972477064216,,,,,,,,77.35849056603774,,,22.22222222222222,,,,,,,,,,,,,,76.3146768141219,,,40.366972477064216,,22.22222222222222,51.30352155607818,50.52774152067943,5.0,0.2631578947368421,,,64.26465025871225,35.73534974128775,57.66049498463078,59.852593018939885,56.57028876868068,False,40.58398084918206,72.35316101561226,[],False,False,,80.34698918757817,1,2.103501470273187,2.6421840550500404,-0.1030998873224348,2.745283942372476,75.0,155.0,80.0,,,,83.66949860522881,89.8130306203536,71.7030110415427,71.05794948036804,60.32385011117535,39.93994246845247,62.045470884577,38.26189709908623,adaptive,adaptive_momentum,,,,,1.0,1.0,1.0,1.0,0.5,3,1.0,95.0,high,89.79591836734694,97.60403530895334,98.75195007800312,89.07342657342657,False,0.0,82.24636432256018,1.0,82.24636432256018,True,7.0,rising_5run,90.8908908908909,16.548403733940724,0.0,0.0,0,rotating,98.37892603850052,89.79591836734694,97.60403530895334,98.75195007800312,86.22677827223282,58.16558021996954,90.8908908908909,82.44512923776614,,,92.87345503799077,0.8800000000000001,92.87345503799077,Breakout,True,1.0,0.4822218932829424,0.7067838494828478,0.7998203921379708,0.997900038005501,1.0,0.927003692507604,0.774839997110909,1.0,77.4839997110909,UP,sector relative positive; momentum inflection positive; pullback recovery positive,84.8424212106053,0.069124343402825,0.2231985667285987,UP,75.00532224638478,CONTINUING,72.99649224760145,87.48714567357581,95.21556881010602,71.86338913611641,90.36049174596333,86.22677827223282,61.033669033148385,54.43830523079898,83.2379283099536,1.0,True,83.2379283099536,4.0,A+,50.0,0.0,False,0.0,,,,,83.2379283099536
SHEL,US,SHEL,Common Stock,NYSE,USD,,United States,Unknown,Unknown,standard,TICKER:SHEL,NAME:shel,SHEL,False,272214327296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.213319,10.484615,,1.4700173,,,,,,,0.1085385190722257,,,,3.28,,,,,,,,,,,,0.0016522365546957,0.1483401347668811,,,,0.2312695878422329,,,,,,,,,,,,,,,,999220.0,,999561.0,yahoo_screener_sort_order,yahoo_screen_current_year_vs_ttm,persisted_yahoo_screen_eps_forward,95.41000366210938,83.34254412893003,358.0,-0.0030302329715814,0.0047800638113615,0.0345912209843921,0.0545098963860448,0.2386893738950868,0.2312891417689686,0.065835401906994,0.0806561950311628,0.3928154327261808,0.4279785971771885,0.337026469838021,0.3522368159670195,0.0131246869094714,0.0482747436065302,0.1466884585014138,0.0267844261901892,56.98667459714885,0.2286363514203534,0.2262528756182706,-0.1797772633407529,511851994.0488831,1.0371601108743422,-0.035775577517041,0.035775577517041,0.035775577517041,0.2909815034486906,0.0301913790056076,0.1878133735672065,-0.1172224254620732,0.234758575653873,,,,2026-09-23,1.0,,237784652703.076,yahoo_screen_market_cap,,999642.0,,56.56970912738216,75.0,77.34138972809667,32.593340060544904,70.02032520325203,66.5650406504065,77.30923694779116,76.63645518630413,33.70332996972755,66.66666666666666,70.08032128514057,74.62235649546828,29.26337033299697,69.3089430894309,36.42785065590313,73.49397590361446,71.85929648241206,65.65349544072949,63.28600405679513,58.61027190332327,85.36585365853658,100.0,,,65.45961002785515,,,,,,,,76.24309392265194,74.86910994764398,,,,,,,69.78260869565217,,,54.629629629629626,,84.12698412698413,96.3172804532578,,,,47.474747474747474,,,,,,,,,0.0934456535912181,0.1747603236222467,50.0,50.0,0.1452437203038686,75.62940584088619,,100.0,73.72037613382199,66.10915922510125,80.83657592398005,80.83657592398005,,57.68882175226585,74.64221648464441,66.0195183948537,53.07438060667579,66.59212594376694,73.44389564079053,69.14535725810242,66.79078220601491,70.50595062574396,69.82565394192319,short,72.79545454545455,3.036969109367026,90.9090909090909,95.23809523809524,,,,,91.93548387096774,,,,,,,,90.9090909090909,,,80.0,,,,,,,,,,,,,,92.18232747644512,,,91.93548387096774,,80.0,88.72977995368888,65.68007285574448,5.0,0.2631578947368421,,,76.65891066674779,23.341089333252214,70.27851650857151,71.61044980714969,69.17191396854865,True,59.81631831773669,72.56395718341719,[],False,False,,80.34698918757817,1,4.72257028019466,2.0713639984680627,0.4021904564096289,1.669173542058434,101.0,145.0,44.0,,,19.0,73.4090474582901,74.59163041327282,69.30412968789132,66.3587140403118,66.58760307630585,52.38777527179691,70.52305810756087,66.76320076193605,core,core,49.42757572525503,40.0,pullback,False,1.0,1.0,1.0,1.0,0.5,3,1.0,95.0,high,96.03841536614644,94.07313997477932,88.61154446177846,92.3951048951049,False,0.0,82.71166813870883,1.0,82.71166813870883,True,4.0,sharp_1run_rise,94.994994994995,19.635944011156845,0.0,0.0,0,rotating,74.87335359675785,96.03841536614644,94.07313997477932,88.61154446177846,80.83657592398005,73.72037613382199,94.994994994995,75.96536323250751,,,87.37389780291115,0.8800000000000001,87.37389780291115,Breakout,True,5.0,0.8276541209563555,0.5982740065951643,0.5834447385268354,0.8060430999750172,1.0,0.741867520928786,0.7477490029531945,1.0,74.77490029531944,UP,sector relative positive; score change positive; momentum inflection positive,85.29264632316158,-0.0030302329715814,0.0345912209843921,MIXED,7.6650667756874435,NONE,64.28111711961355,82.96424867525405,93.12250770785755,64.16828796199002,82.82768234282925,80.83657592398005,70.29532852489766,70.11885136410157,79.72774024105539,1.0,True,83.08408264865739,5.0,A+,80.95,30.95,True,3.0,Shell Completes $840 Million Gulf Oil Asset Sale,Oilprice.com,asset sale,2026-09-23T18:40:50+00:00,79.72774024105539
